,날짜,신문사,제목,내용,분야
0,20220201,조선일보,"테슬라, 자율주행 소프트웨어 결함…5만4000대 리콜","<div class=""go_trans _article_content"" id=""dic_area"">
										미국 전기차 업체 테슬라가 완전 자율주행(FSD) 베타 버전을 탑재한 미국 내 테슬라 약 5만3822대를 리콜할 예정이라고 로이터가 1일(현지 시각) 보도했다.<br><br><span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/023/2022/02/01/0003669960_001_20220201215301090.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc"">테슬라 보급형 전기차 모델3./테슬라 </em></span><br>										보도에 따르면 이번 리콜은 FSD 소프트웨어가 정지 신호에서 완전히 멈추지 않고, 속도만 살짝 줄인 뒤 그대로 주행하는 ‘롤링 스톱’(Rolling Stop)을 허용했기 때문이다.<br><br>미국 도로교통안전국(NHTSA)는 “일단 정지해야 하는 교차로에서 테슬라 차량이 멈추지 않아, 안전 위험을 초래할 수 있다”고 했다. 테슬라와 NHTSA 관계자들은 두 차례 회동한 뒤 리콜에 합의한 것으로 알려졌다.<br><br>리콜 차량은 2016~2022년 생산된 모델 S와 모델 X, 2017~2022년 생산된 모델 3, 2020~ 2022년 생산된 모델 Y다.<br><br>테슬라는 소프트웨어 업데이트를 통해 문제가 된 ‘롤링 스톱’ 기능을 비활성화하겠다고 NHTSA는 설명했다. 업데이트 공지는 2월 초에 공개될 예정이다.<br><br>
</br></br></br></br></br></br></br></br></br></br></br></div>",경제
1,20220201,TV조선,올림픽 앞두고 美 눈치 보는 기업들…광고서 '베이징' 지우기,"<div class=""go_trans _article_content"" id=""dic_area"">
<div class=""video_area _VIDEO_AREA"" id=""video_area_0""></div>[앵커]<br>베이징  올림픽 개막이 사흘 앞으로  다가왔습니다. 평소라면 기업들 사이에서  올림픽 마케팅이 넘쳐났을 시기인데, 이번엔 조용합니다. 미중 갈등 상황이 반영됐다는  분석이 나옵니다. <br><br>장혁수 기자가  보도합니다. <br><br>[리포트]<br>올림픽 후원사인 프랑스 기술기업 아토스의 공식 트위터 계정입니다. 지난 도쿄 올림픽 당시 카운트다운까지 해가며 올림픽 홍보에 나섰지만 이번 베이징 동계올림픽 관련 게시물은 전무합니다. <br><br>매 올림픽 마다 대대적인 마케팅을 벌이던 코카콜라도 올림픽 광고 캠페인을 중국에서만 진행하고 있습니다.<br><br>에어비앤비, 파나소닉, 도요타 등 13곳의 후원사 대부분은 올해 들어 올림픽 관련 글을 하나도 올리지 않거나, '베이징'이란 단어를 빼고 있습니다.<br><br> 최근 미국을 중심으로 한 서방국가들은 중국정부의 위구르족 탄압을 이유로 베이징 올림픽에 대해 외교적 보이콧을 선언한 바 있습니다. <br><br>줌레테이 아르킨 / 세계위구르위원회 프로그램 매니저<br>""어떻게 IOC와 후원사, 방송사, 운동선수와 유엔은 학살과 잔혹한 범죄를 보고서도 침묵할 수 있습니까?"" <br><br>후원 기업들로서는 이런 상황에서 하는 올림픽 마케팅이 기업 이미지에 부정적 영향을 끼칠 수 있다는 점을 고려한 것으로 보입니다. <br><br>김태기 / 단국대 경제학과 교수<br>""올림픽 스폰을 했을 때 미국내 불매운동이 일 수가 있는 거죠. 리스크 때문에, 차라리 이게 (마케팅 최소화) 손실을 그나마 줄일 수 있는 거 아닌가…."" <br><br>4년마다 1억달러 이상 올림픽을 후원하는 글로벌 기업들. 외교적 갈등 상황으로 속앓이를 하고 있습니다. <br><br>TV조선 장혁수입니다. 
		</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
2,20220201,TV조선,하락장에 LG생건·삼바·엔씨도 '휘청'…'100만원 황제주'는 옛말,"<div class=""go_trans _article_content"" id=""dic_area"">
<div class=""video_area _VIDEO_AREA"" id=""video_area_0""></div>[앵커]<br>증시에  찬바람이 불면서, 한 주에,  100만원이 넘는 이른바  '황제주'가  자취를 감추고 있습니다.  미 연준의  긴축 공포에, 오미크론  확산 충격까지 겹친 탓이죠. <br><br>설 연휴 이후엔 반등으로  이어질 수 있을지,  김지아 기자가 보도하겠습니다. <br><br>[리포트]<br>면세점과 중국 현지 매출이 급격히 줄면서 작년 4분기 매출과 영업이익 모두 고전했던 LG생활건강. 증권가에서 줄줄이 목표주가를 하향하며 지난달 10일에는 하루 사이 주가가 13% 넘게 폭락했고, 결국 100만 원 문턱은 다시 넘지 못했습니다.<br><br>이후 유일하게 남은 '황제주'인 태광산업은 최근 100만 원 전후로 급등락을 반복하고 있고, 100만 원을 돌파해 한 때 '황제주' 반열에 들었던 삼성바이오로직스와 엔씨소프트 주가는 고점 대비 반토막 수준으로 내려앉았습니다. <br><br>차기 '황제주'로 떠오른 패션 의류 기업 F&amp;F;는 지난해 12월 29일 장중 99만8000 원까지 올랐다가 다시 내리막길을 걸어 80만 원대로 떨어졌습니다.<br><br> 오미크론 확산 우려가 커지는 와중에, 미 연준이 금리 인상과 양적 긴축의 고삐를 예상보다 더 강하게 죌 거란 전망이 짙어지면서 투자 심리가 위축됐다는 분석입니다. <br><br>성태윤 / 연세대 경제학부 교수<br>""금리인상은 불가피하고요. 1주당 가격이 높은 경우 유동성을 줄이는 문제가 있기 때문에 가격을 낮추는 형태로 쪼개는…."" <br><br>한편 하반기엔 투자자들이 원하는 단위나 금액만큼 주식을 살 수 있는 소수점 거래 서비스가 제공될 전망이어서, 순매수 전환을 노리는 개인투자자들로서는 황제주 투자 기회가 더 많아질 거란 전망도 나옵니다. <br><br>TV조선 김지아입니다. 
		</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
3,20220201,중앙일보,정부 보조금 없어도 잘나가네…3118대 팔린 1억 넘는 전기차,"<div class=""go_trans _article_content"" id=""dic_area"">
<div class=""ab_photo photo_center ""> <div class=""image""> <span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP is_small"">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/025/2022/02/01/0003170478_001_20220202062905736.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc"">포르쉐 타이칸 4S. [사진 포르쉐]</em></span> <span class=""mask""></span> </div> </div>        판매가 9000만원이 넘는 전기차는 정부의 보조금 지급 대상에서 제외되는데, 그럼에도 지난해 고급 수입전기차 시장이 가파르게 성장한 것으로 나타났다.   <br> <br>   1일 한국수입자동차협회에 따르면 지난해 수입차 판매량 27만6146대 중 전기차(테슬라 제외) 판매량이 6340대로 전체의 2.29%를 차지했다. 전기차 판매량은 지난 2020년 3357대보다 88.85% 증가했다.   <br> <br>   특히 지난해 판매된 수입 전기차 중 보조금 혜택이 없는 1억원 이상 전기차 판매량이 3118대로 절반에 달했다. 2020년 1304대보다 139.11% 증가했다. 지난해 1억원 이상 전기차 판매대수를 살펴보면 아우디가 1499대로 가장 많았고, 포르쉐가 1296대, 메르세데스-벤츠 161대, BMW 140대, 재규어 22대 순으로 나타났다.   <br> <br>   아우디 전기차 중 'e-트론 55 콰트로'가 777대로 가장 많이 팔렸고, 'e-트론 스포트백 55 콰트로' 577대, 영화 '어벤져스'에서 아이언맨이 타는 전기차로 등장해 주목받은 'RS e-트론 GT'도 15대 판매됐다.  <br> <br>   포르쉐는 '타이칸 4S'가 1014대로 개별모델 중에선 가장 많이 판매됐고, '타이칸 터보' 130대, '타이칸 터보S' 79대, '타이칸' 70대 등으로 뒤를 이었다. 벤츠는 'EQS 450+' 161대, BMW는 'iX xDrive40' 117대를 각각 판매했다.   <br> <br>   업계는 신종 코로나바이러스 감염증(코로나19)으로 침체됐던 자동차 산업이 점차 회복세를 보이며, 고급차 수요도 늘어나고 있는 것으로 보고 있다. 1억원 이상 고급 전기차 판매량이 증가하는 것도 고급차 시장의 성장과 맞물려 있다는 해석이다.  <br> <br>   한편 지난해 전기차 구매자의 경우 서울시 기준 1000만원(국비 800만원, 시 200만원)의 보조금 혜택을 받을 수 있었다. 판매가 6000만원 이하 전기차엔 보조금 100%를 지급하고, 6000~9000만원은 보조금 50%, 9000만원 이상은 보조금 대상에서 제외됐다.   <br> <br>   하지만 올해부터는 판매가 5500만원 미만 전기차에 보조금 100%를 지급하고, 5500~8500만원 보조금 50%, 8500만원 이상 미지급으로 보조금 지급 기준을 낮췄다.  <br><br>
</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
4,20220201,경향신문,‘뽀글이’ 재킷도 만든다···친환경 바람 탄 폐플라스틱의 ‘무한변신’,"<div class=""go_trans _article_content"" id=""dic_area"">
			[경향신문] <br><span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/032/2022/02/01/0003125905_001_20220201182401309.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc"">노스페이스가 선보인 일명 ‘친환경 뽀글이’ 플리스 제품. 제주에서 수거한 페트병을 재활용한 원단을 적용했다. 노스페이스 제공</em></span><br>환경오염의 주범으로 여겨졌던 플라스틱이 탄소중립 시대를 맞아 새로운 모습으로 재탄생하고 있다. 친환경·윤리적 소비를 추구하는 ‘가치소비’ 바람과, 새로운 미래 먹거리를 찾는 기업들의 움직임이 맞물리며 폐플라스틱을 재활용하는 시도가 점점 다양해지고 있다. <br><br>일찍이 ‘지속 가능한 패션’이 핵심 키워드로 부상한 패션업계에서는 폐플라스틱 재활용 섬유로 만든 의류 제품이 폭넓게 출시되고 있다.<br><br>주요 아웃도어 브랜드들은 지난 가을·겨울 시즌 폐플라스틱으로 만든 재활용 소재의 일명 ‘뽀글이’(플리스)와 다운 재킷 등 의류 제품을 연달아 출시했다.<br><br>‘노스페이스’는 일부 겨울 의류 제품에 효성티엔씨의 재활용 섬유 ‘리젠서울’과 ‘리젠제주’를 적용했다. 이 섬유는 국내에서 버려진 폐플라스틱을 사용했다는 점이 특징이다. 리젠서울은 서울 금천, 영등포, 강남 등에 버려진 페트병을 재활용해 만든 섬유다. 리젠제주는 제주도에서 수거한 페트병으로 만들어진다.<br><br>‘블랙야크’는 폐페트병 재활용 섬유를 사용한 ‘시트 다운 플리스’를 출시했고, ‘트렉스타’도 친환경 컬렉션인 트렉스타 752 라인 21FW 여성 제품에 친환경 재생소재를 적용했다. <br><br>폐플라스틱을 활용한 폴리에스터 섬유는 대부분 폐페트병을 사용한 물리적 재활용 방식을 적용하고 있다. 버려진 페트병을 수거해 일정한 크기로 파쇄한 뒤 녹여 폴리에스테르 원사를 뽑아내는 것이다. <br><br>해양폐기물, 폴리에스터 폐직물 등 ‘소비 후(Post-consumer) 플라스틱’이나, 직물 스크랩과 같은 ‘소비 전(Pre-consumer) 가공 잔류물’로도 재활용 섬유가 만들어진다. 이렇게 뽑아낸 원사는 직조 방식에 따라 다운, 플리스, 후드티, 맨투맨 등 다양한 의류로 재탄생하게 된다.<br><br><span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a2"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/032/2022/02/01/0003125905_002_20220201182401409.jpg?type=w647"" id=""img2""/>
</div>
</div><em class=""img_desc"">신한카드 폐플라스틱 재활용 플레이트 이미지. 신한카드 제공</em></span><br>폐플라스틱을 재활용한 신용카드도 출시됐다.<br><br>신한카드는 지난해 8월 국내 폐플라스틱을 재활용한 친환경 소재 플레이트를 기존 카드 상품부터 신규 출시 상품까지 단계적으로 도입한다고 밝혔다. 이를 통해 연간 1.5ℓ 페트병 약 31만개를 재활용하는 효과를 낼 것으로 전망된다. 부산은행도 지난해 10월 폐플라스틱을 재활용한 친환경 소재 카드를 내놨다.<br><br><span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a3"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/032/2022/02/01/0003125905_003_20220201182401510.jpg?type=w647"" id=""img3""/>
</div>
</div><em class=""img_desc"">화학적 재활용 페트. SK케미칼 제공</em></span><br>폐플라스틱을 재활용해 만든 식품 용기도 조만간 상용화된다. 그간 폐플라스틱의 식품 용기 재활용은 안전성의 문제로 까다로운 기준이 적용돼왔다.<br><br>SK케미칼은 최근 국내 최초로 ‘화학적 재활용’ 기술을 적용한 페트 양산 체계를 갖추고 생산·공급을 시작했다. <br><br>화학적 재활용 페트는 수거된 폐페트병에 화학적 공정을 적용해 다시 제조한 페트를 말한다. 플라스틱을 화학적으로 분해해 순수 원료 상태로 되돌린 뒤 다시 제조하기 때문에 이물질 오염과 품질 저하가 없어 식품 용기에도 적용이 가능하다. <br><br>한 석유화학업계 관계자는 “글로벌 재활용 페트 시장이 커지고 있는 데다 조만간 국내에서도 플라스틱 재생원료 사용 의무화 제도가 시행되며 기업들의 재생 플라스틱 시장 경쟁이 치열해지고 있다”고 말했다.
		</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
5,20220201,TV조선,충북 진천 오리농장서 AI 항원 검출… 9300마리 살처분,"<div class=""go_trans _article_content"" id=""dic_area"">
			농림축산식품부는 1일 진천군의 한 육용오리 농장에서 실시된 출하 전 검사에서 H5형 조류인플루엔자(AI) 항원이 검출됐다고 밝혔다.<br> <br>다만 이번에 발견된 AI가 고병원성인지 여부는 정밀검사 결과가 나오는 3일쯤 밝혀질 전망이다.<br><br>진천군 측은 해당 농장에 초동방역반을 투입, 출입을 통제하면서 사육 중인 오리 9300마리 살처분에 들어갔다.<br><br>이 농장은 지난달 21일 AI가 발생했던 진천 종오리 농장에서 약 4.5㎞ 떨어진 곳에 위치했다. 해당 농장 반경 500ｍ에서 3㎞ 내 보호지역에는 11개 농가가, 3㎞에서 10㎞ 이내 예찰지역에는 47개 농가가 있다. 이 58개 가금류 농가에 이동 제한 등 방역 조치가 취해진다. <br><br>농식품부는 “고병원성 조류인플루엔자가 가금농장과 야생조류에서 연이어 발생한 만큼, 조기 차단을 위해 농가·관계기관이 함께 총력을 다해야 한다”고 강조했다.<br><br>
</br></br></br></br></br></br></br></br></br></br></div>",경제
6,20220201,조선일보,국제유가 100달러 눈 앞...1월 15% 이상 급등하며 91달러 돌파,"<div class=""go_trans _article_content"" id=""dic_area"">
<b>지정학적 위기에 공급 부족까지...2014년 10월 초 이후 7년여 만</b><br>										국제유가가 91달러를 돌파하며 7년여 만에 최고 수준을 이어갔다. 90달러는 시작일 뿐 올여름 국제유가가 배럴당 100달러에 이를 것이라는 전망이 잇따라 나온다.<br><br><span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/023/2022/02/01/0003669935_001_20220201155101149.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc"">국제유가가 지정학적인 긴장이 고조되며 최근 7년여 만에 최고 수준을 이어가고 있다. 미국 텍사스 칸스 시티에 있는 석유 시추시설 뒤로 해가 지고 있다./AP연합뉴스</em></span><br>													31일(현지 시각) 런던 ICE 선물거래소에서 브렌트유는 배럴당 1.18달러(1.31%) 오른 91.21달러로 거래를 마쳤다. 지난달 28일 90.03달러로 마감하며 2014년 10월 9일(90.21달러) 이후 처음으로 90달러 위에서 장을 마감한 이후 이틀 연속 종가가 90달러대를 나타냈다. 같은 날 미국 뉴욕상업거래소에서 WTI(서부 텍사스산 원유)도 배럴당 1.33달러(1.53%) 오른 88.15달러를 기록하며 2014년 10월 6일(88.85달러) 이후 처음으로 88달러 위에서 거래를 마쳤다.<br><br>지난해 말 배럴당 70달러 후반이었던 브렌트유와 WTI는 1월 한 달 동안 15% 이상 급등했다. 러시아의 우크라이나 침공 우려, 예멘 반군의 사우디·UAE(아랍에미리트) 미사일 공격 등 지정학적인 위기감이 고조되며 지난 30년 사이 1월 기준 가장 높은 상승세를 기록한 것이다. 여기에 석유수출국기구(OPEC)와 러시아 등 산유국 모임인 OPEC+(오펙 플러스)가 증산에 어려움을 겪는 것도 공급 측면에서 부담을 더했다. 이날 외신에 따르면 하루 40만 배럴 증산에 합의한 OPEC+의 1월 증산 규모는 21만 배럴에 그쳤다.<br><br>이 같은 상황에서 우크라이나 사태와 함께 오는 2일 열리는 OPEC+ 회의에 관심이 쏠린다. 삭소뱅크는 이날 “시장은 증산 규모에 대한 합의보다는 실제로 원유가 얼마나 공급될 수 있는지를 주목하고 있다”고 했다.<br><br>한편 골드만삭스가 올 3분기 국제유가 100달러를 전망한 데 이어 JP모건은 최근 “러시아와 우크라이나 사이에 긴장이 고조되면 브렌트유 가격이 1분기 150달러까지 치솟을 수 있다”고 전망했다.<br><br>
</br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
7,20220201,TV조선,작년 외식비 8개 품목 중 7개 상승…냉면 8.1% 올라,"<div class=""go_trans _article_content"" id=""dic_area"">
			지난해 외식비 대부분이 오른 것으로 나타났다. 1일 한국소비자원 가격정보 종합포털 ‘참가격’에 따르면 지난해 12월 서울 지역 대표 외식 품목 8개 가운데 7개 품목의 가격이 연초(1월 기준)보다 올랐다.<br><br>이 기간 상승률이 가장 높았던 품목은 냉면으로, 지난해 1월 9000원에서 12월에는 9731원으로 8.1% 상승했다. 짜장면은 같은 기간 5346원에서 5692원으로 6.4% 올랐고, 김치찌개 백반과 비빔밥, 칼국수는 각각 4.5%, 4.3%, 4.0% 상승했다. 김밥은 2.9%, 삼겹살은 1.9% 가격이 올랐다. 다만 삼계탕은 1만4462원에서 1만4231원으로 1.59% 하락했다.<br><br>소비량이 많은 가공식품의 경우 28개 품목 중 23개의 가격이 올랐다. 상승률이 가장 높은 가공식품은 국수로, 12.6% 올랐다. 이어 식용유(10.1%), 컵라면(9.8%), 설탕(9.4%), 즉석밥(8.7%) 순이었다.<br>
</br></br></br></br></br></div>",경제
8,20220201,TV조선,"전세보증금 떼인 세입자, 서울·30대·2억원대가 '최다'","<div class=""go_trans _article_content"" id=""dic_area"">
<span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/448/2022/02/01/2022020190026_0_20220201154602437.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc"">/ 연합뉴스</em></span>지난해 전세보증금을 떼인 세입자 피해는 지역별로는 서울, 연령대별로는 30대, 금액별로는 2억원대가 가장 많았던 것으로 나타났다. <br><br>1일 국회 기획재정위원회 소속 더불어민주당 양경숙 의원이 주택도시보증공사(HUG)에서 받은 자료에 따르면 지난해 전세보증금 반환 보증 사고는 2799건, 총 5790억원에 이른다.<br><br>지역별로 보면 건수와 금액 모두 서울이 가장 많았다. <br><br>지난해 전체 전세금 반환 보증 사고의 43.5%, 1217건이 서울에서 발생했다. 피해 금액도 전체의 절반에 가까운 48.5%, 2809억 원이었다. 서울 다음으로는 경기(780건·1893억 원), 인천(357건·558억 원) 순이었다. <br><br>2019년까지만 해도 경기에서 일어난 사고 건수와 피해 금액이 가장 많았는데 2020년부터 서울이 경기를 추월한 것으로 나타났다.<br><br>연령대별로 보면 30대 세입자의 피해가 가장 컸다. <br><br>전체 전세금 반환 보증 사고의 49.7%, 1391건이 30대에게서 발생했다. 피해 금액은 전체의 48.2%인 2792억 원에 달했다. 이어 40대(586건·1289억 원), 20대(421건·809억 원)가 뒤를 이었다.<br><br>세입자가 떼인 전세금 규모는 2억~3억 원 미만이 가장 많았다. 전체 사고의 43.7%(1224건), 피해 금액의 51%(2953억 원)가 2억 원대였다.
		</br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
9,20220201,TV조선,'거래 절벽' 장기화 속 빌라가 아파트 매매의 3배↑…'빌라>아파트' 기현상 1년째,"<div class=""go_trans _article_content"" id=""dic_area"">
<span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/448/2022/02/01/2022020190025_0_20220201154601841.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc"">/ 조선일보DB</em></span>서울 주택 매매 시장에서 빌라 매매 거래가 아파트의 매매 건 수보다 많은 현상이 13개월째 이어지고 있다.  <br><br>1일 서울부동산정보광장에 따르면 지난달 서울 빌라 매매(계약일 기준)는 1447건으로 아파트 매매 537건보다 약 2.7배 많았다.  <br><br>거래등록신고기한이 30일로 1월 거래량이 추가로 등록될 수 있지만, 아파트보다 빌라 매매가 더 많은 흐름은 유지될 것으로 보인다.<br><br>서울 아파트 매매는 지난해 7월 4703건, 8월 4217에서 9월 2705건, 10월 2205건, 11월 1371건, 12월 1117건, 올해 1월 537건으로 큰 폭으로 감소하고 있다. <br><br>대출규제와 금리 인상 등 여파로 자금 마련이 어려워진 구매자들의 매수세가 주춤한데다, 양도세 등 세금 부담 영향으로 지난해 하반기부터 거래 건수가 급격하게 줄고 있기 때문이다.<br><br>빌라 매매도 역시 8개월 연속 감소세를 보이고 있지만, 감소세가 비교적 완만해 상대적으로 빌라 거래의 비중이 높아지고 있다.<br><br>지난 2020년까지만 해도 아파트 매매량은 빌라보다 통상 2~3배 많았지만, 최근 이미 가격이 많이 오른 아파트 대신 상대적으로 저렴한 빌라라도 마련하려는 수요가 강해진 탓으로 분석된다. <br><br>한국부동산원에 따르면 지난해 11월 서울 전체 주택 매매 가운데 빌라 비중은 58.5%로 지난 2006년 관련 통계 집계가 시작된 이후 월별 역대 최고치를 경신했다.
		</br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
