,날짜,신문사,제목,내용,분야
0,20221210,TV조선,상처만 남긴 화물연대 총파업…건설·철강 등 피해 4조원,"<div class=""go_trans _article_content"" id=""dic_area"">
<div class=""video_area _VIDEO_AREA"" id=""video_area_0""></div>[앵커]<br>화물연대가 운송을 거부한 보름 동안 주유소에서 기름을 넣지 못하는가 하면, 건설 현장이 멈추는 등 그 피해는 국민과 산업계에 돌아갔습니다. 피해 규모가 4조1000억원에 달하는 것으로 추산됩니다. <br><br>김충령 기자입니다.<br><br>[리포트]<br>주유소에  품절 안내문이 붙었습니다. 화물연대 운송거부로 기름을 실어나를  유조차가 없어섭니다. <br><br>승용차 운전자<br>""(남은 연료가) 40km밖에 못 가도록 지금 돼 있는데 여기에서 어디로 갈지 모르겠네. 황당하네요."" <br><br>콘크리트 타설 작업을 해야 하는데, 레미콘 차량이 들어오질 않습니다. <br><br>공사현장 관계자<br>""굳어지는 게 늦어지고 하니까 안치려고 하죠. 한겨울에는 양생이 안되는데.""<br><br> 지난달 말부터 어제까지 이어진 민노총 화물연대의 파업으로 산업계가 입은 피해추산액은 4조1000억원에 달합니다. <br><br>철강재를  무작정 쌓아놓을 수 없어 생산을 줄여야 했던 철강업계의 피해는 1조5000억원에 이릅니다.<br><br> 석유화학 분야도 출하차질로 1조4000억원의 손실을 봤습니다.<br><br>주유소 품절사태를 겪었던 정유업계는 6700억원, 고객에게 직접 차를 몰고 가 배송하는  촌극을 벌여야 했던 자동차업계는  4100억원의 손실을 입었습니다.<br><br>레미콘 운송이 멈추며 시멘트업계는 1200억원의  손실을 입었는데,  업무개시명령이 빨리 발동돼  피해가 상대적으로 적었습니다. <br><br>원희룡 / 국토교통부 장관<br>""계산도 할 수 없는 이런 손해와 나라의 마비를 가져오는 이런 관행은 반복돼선 안되겠습니다."" <br><br>운송거부는 끝났지만, 물류망 정상화까진 시간이 걸릴 전망입니다. <br><br>산업현장을 멈춰세우고 민생을 망가뜨린 데 대한 책임론이 거세게   나오고 있습니다. <br><br>TV조선 김충령입니다. 
		</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
1,20221210,한겨레21,‘제2의 위믹스’ 사태 막으려면 [뉴스 큐레이터],"<div class=""go_trans _article_content"" id=""dic_area"">
			[뉴스 큐레이터]<span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/036/2022/12/10/0000047437_001_20221210175903229.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc"">경기도 성남시 위메이드 사옥. 연합뉴스</em></span><br><br>게임사 위메이드가 발행한 가상자산(암호화폐) ‘위믹스’가 결국 퇴출됐다. <br><br>서울중앙지법 민사50부(재판장 송경근)는 2022년 12월7일 위믹스가 업비트·빗썸·코인원·코빗 4개 가상자산 거래소를 상대로 낸 거래지원 종료 결정 효력정지 가처분 신청을 기각했다. 거래소 4곳이 11월 결정한 대로 위믹스는 12월8일 오후 3시 거래가 종료됐다. 이로써 위믹스는 사실상 국내 시장에서 퇴출되는 셈이다.<br><br>위믹스는 게임 아이템과 캐릭터 거래에 사용하는 게임 전용 가상자산이다. 위메이드는 자사 게임 &lt;미르4&gt;뿐만 아니라 다른 게임들을 모아 위믹스를 ‘게임 화폐’처럼 사용하는 생태계를 준비해왔다. 각 게임에서 사용하는 토큰을 위믹스로 교환할 수 있게 하는 방식이다. <br><br>위믹스가 국내 주요 거래소에서 거래 정지 논란에 휘말린 주요 계기는 유통량 문제였다. 업비트, 빗썸, 코인원, 코빗, 고팍스 등 국내 주요 5대 가상자산 거래소로 구성된 닥사는 11월24일 위믹스가 제출한 유통량 계획(약 2억4400만 개)과 실제 유통량(3억2천만 개)이 크게 다르다는 사실을 확인한 뒤 △중대한 유통량 위반 △투자자에게 미흡하거나 잘못된 정보 제공 △소명 기간 중 제출된 자료의 각종 오류에 따른 신뢰 훼손 등을 상장폐지 사유로 제시했다.<br><br>하지만 위메이드는 명확한 기준이 없는 개념인 가상자산 유통량을 문제 삼아 상장폐지를 결정한 것은 부당하며, 상장폐지가 현실화하면 투자자 피해가 불가피하다고 맞섰다.<br><br>이번 사태를 계기로 가상자산 업계는 통일된 가상자산 회계처리 원칙과 공시 기준, 상장 및 상장폐지 잣대 등을 만들어야 한다고 주장한다. 가상자산과 관련해 명확한 규제 잣대가 없는 ‘공백’ 상태가 지속되면 ‘제2의 위믹스’ 사태가 일어날지 모르기 때문이다.<br><br><strong>*뉴스 큐레이터: &lt;한겨레21&gt; 기자들이 이주의 놓치지 않았으면 하는 뉴스를 추천합니다.</strong>
</br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
2,20221210,조선일보,"우리 수출, 지난해 기록 깨고 역대 최고 기록","<div class=""go_trans _article_content"" id=""dic_area"">
<b>수입은 이미 11월 누적 기준 지난해 최고 기록 500억달러 이상 웃돌아<br/></b><br><span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/023/2022/12/10/0003733882_001_20221210180101098.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc"">지난 9일 오후 경기 평택시 포승읍 평택항 수출 야적장에서 화물차들이 컨테이너를 나르고 있다./뉴스1</em></span><br>										우리나라 수출이 지난해 기록을 깨고 역대 최고를 기록했다.<br><br>산업통상자원부는 10일 오전 7시 4분 기준 올해 누적 수출액이 기존 연간 역대 최고실적을 기록한 지난해 6444억달러(약 840조원)를 초과했다고 밝혔다. 지난해 같은 기간(1월1일~12월10일)과 비교해서는 6.8%가 증가했다.<br><br>산업부 관계자는 “올해 수출도 지난해에 이어 2년 연속 사상 최대실적을 경신하게 됐다”며 “수출액은 연말까지 6800억달러를 넘어설 것으로 보인다”고 말했다. 이로써 기존 역대 2위인 2018년(6049억달러)과 3위인 2017년(5737억달러) 기록은 순위가 하나씩 밀리게 됐다.<br><br>다만 올해 10월 수출이 작년보다 5.7% 줄어든 데 이어 11월에도 작년보다 14%나 감소하며 내년 수출 전망은 밝지 않다. 수입은 이미 11월 말 기준 올해 누적 수입액이 6716억달러를 기록하며 역대 최대였던 지난해 수입액(6151억달러)을 크게 넘어섰다.<br><br>
</br></br></br></br></br></br></br></br></br></br></div>",경제
3,20221210,한겨레,"미 증시 하락장서 기록적 수익 올린 헤지펀드 CEO, 통 큰 화답","<div class=""go_trans _article_content"" id=""dic_area"">
<strong class=""media_end_summary"">켄 그리핀, 직원·가족 1만명에 사흘 휴가<br>디즈니월드행 항공권·호텔비 등 경비 지원<br>콜드플레이 등 유명 가수 불러 콘서트도</br></br></strong><span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/028/2022/12/10/0002618653_001_20221210163701095.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc"">지난 8일 서울 중구 하나은행 본점 딜링룸 현황판에 코스피, 원/달러 환율, 코스닥 지수가 표시돼 있다. 연합뉴스</em></span><br><br>증시 하락장에서도 기록적인 수익을 올린 미국 초대형 헤지펀드 시타델의 최고경영자(CEO) 켄 그리핀(54)이 직원들에게 ‘통 큰 화답’을 해 화제가 됐다.<br><br>9일(현지시각) 비즈니스 전문매체 &lt;인사이더&gt;와 &lt;로이터&gt; 통신 등에 따르면 시타델과 자회사 시타델 시큐리티즈의 직원과 직원가족 1만명이 지난 주말 미국 플로리다주 디즈니월드에서 사흘간 휴가를 보냈다.<br><br>뉴욕·시카고·휴스턴 등 미국은 물론 프랑스 파리·스위스 취리히 등 해외 지점에서 모인 시타델 직원들의 항공권·호텔비·테마파크 입장권·식비 등 여행 경비는 모두 그리핀이 부담했다.<br><br>그리핀은 영국 록밴드 콜드플레이, 팝가수 칼리 레이 젭슨, 디제이(DJ) 디플로 등을 초청해 콘서트도 열었다.<br><br>시타델 대변인은 올해 기록적인 수익을 올린 것과 시타델 설립 32주년, 시타델 시큐리티즈 설립 20주년을 기념하기 위한 이벤트였다고 밝혔다. <br><br>시타델은 최근 투자자들에게 자사를 대표하는 ‘웰링턴 헤지펀드’의 올해 수익률(11월 말 기준)이 32%에 이른다고 밝혔다. ‘시타델 글로벌 픽스트 인컴 펀드’(CGFIF)는 28.1%, ‘시타델 택티컬 트레이딩’(CTT)은 22.4%, ‘시타델 에퀴티스 펀드’(CEF)는 17.8% 수익률을 올렸다.<br><br>이에 대해 &lt;로이터&gt; 통신은 “여타 월가 투자사의 실적 및 전반적인 경제 상황과 극적인 대조를 이룬다”고 평가했다.<br><br>
</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
4,20221210,TV조선,기름값 하락세…이번주 휘발유 15원 내려,"<div class=""go_trans _article_content"" id=""dic_area"">
<span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/448/2022/12/10/2022121090021_0_20221210133602300.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc"">/연합뉴스</em></span>이번 주 국내 주유소의 휘발유와 경유값이 하락세를 이어갔다.<br><br>10일 한국석유공사에 따르면 12월 첫째 주(4~8일) 전국 주유소 휘발유 평균 판매가격은 1611.1원으로 전주보다 15.1원 내렸다.<br><br>휘발유 가격은 주간 단위로 13주째 하락했다.<br><br>서울의 평균 가격은 2.5원 하락한 1699.6원, 최저가 지역 대구는 19.9원 하락한 1544.8원이었다.<br><br>이번 주 경유 판매가격은 전주보다 16.2원 내린 1845.7원으로 집계됐다.<br><br>경유 가격은 주간 단위로 3주 연속 내렸다.<br><br>다만 경유가 휘발유보다 평균 200원 이상 비싼 '가격 역전'은 이어지고 있다.
		</br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
5,20221210,조선일보,올해 종부세 내는 5명 중 1명은 1주택자···5년전의 1.8배,"<div class=""go_trans _article_content"" id=""dic_area"">
<span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/023/2022/12/10/0003733869_001_20221210122501075.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc""> 9일 남산에서 바라본 한강 주변 아파트 모습. /연합뉴스</em></span><br>										올해 종부세 과세 인원 5명 중 1명이 1세대 1주택자인 것으로 조사됐다. 집값이 오르고 정부가 공시가격 현실화율(시세 대비 공시가격 비율)을 높이면서 이 비율이 5년 전의 1.8배로 불었다.<br><br>세금을 매기는 과세표준에서 빼주는 금액인 기본공제액을 1주택자 기준 11억원에서 12억원으로 올리는 정부의 종부세법 개정안을 놓고 최근 여야가 잠정 합의했다. 법 개정안이 국회 문턱을 넘을 경우 1세대 1주택자 과세 인원은 줄어들 수 있지만 법인세법 개정안 등 다른 세법 개정을 놓고 여야 이견이 좁혀지지 않은 상태라 종부세법 개정도 장담할 수 없는 상태다.<br><br>10일 국세청에 따르면, 주택분 종부세 과세 대상 개인(116만143명) 가운데 1세대 1주택자는 19.8%인 23만90명에 달하는 것으로 나타났다.<br><br>국세청이 1세대 1주택자 통계를 처음 집계한 2017년(11%)의 1.8배에 이르는 수치다. 이 비율은 2018년 14.3%, 2019년 17%, 2020년 19.2%로 점차 오르다가 2021년 들어 17.5%로 잠시 낮아졌다.<br><br>작년 들어 1주택자 기본공제액을 9억원에서 11억원으로 늘린 영향이다.<br><br>하지만 올 들어서도 집값이 오르고 정부가 공시가격 현실화율을 높이면서 공동주택 공시가격이 17.2% 올랐고, 1세대 1주택 과세 대상자가 작년 15만3103명에서 올해 23만명대로 크게 불어났다.<br><br>또 작년 지역별 과세 인원 현황을 보면, 서울의 경우 전체 주택분 납세자 4명 가운데 1명이 1세대 1주택자로 나타났다. 국세청은 7일 2021년 귀속분에 한해 주택분 종부세 지역별 과세 인원과 금액을 국세통계시스템에 공개했다.<br><br>작년에 종부세를 낸 서울의 1세대 1주택자는 12만806명으로, 서울의 주택분 과세 인원(47만4184명‧법인 포함)의 25.5%로 4명 중 1명 꼴이었다.<br><br>법인을 뺀 개인 납세자 기준으로 보면, 서울의 1세대 1주택자 과세 인원 비율은 25.5%보다 늘어난다.<br><br>지역별 주택분 종부세 과세 인원 대비 1주택자 비율은 서울 다음으로 경기(9.7%), 강원(7.2%), 제주(5.3%), 충북(5.1%), 부산(5.02%), 대구(4.998%) 등의 순이었다.<br><br>
</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
6,20221210,경향신문,‘재벌집 막내아들’ 뉴데이터테크놀로지 주식의 모티브는?,"<div class=""go_trans _article_content"" id=""dic_area"">
<span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/032/2022/12/10/0003192004_001_20221210120601136.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc"">JTBC 드라마 &lt;재벌집 막내아들&gt;의 한 장면. JTBC 제공</em></span><br><br>시청률 고공행진을 이어가고 있는 JTBC 금토일 드라마 &lt;재벌집 막내아들&gt;에서 지난주부터 9일 방영분을 이끌어가는 소재는 ‘뉴데이터테크놀로지’ 주식이다. 과거로부터 회귀해 인생 2회차를 살고 있는 진도준(배우 송중기)이 과거 기억을 되살려 한때 수백배 치솟은 이 종목을 기억하고 고모 진화영(김신록)의 ‘욕망’을 건드려 회사 공금으로 주식 투자를 하게금 만드는 이 종목은 어떤 종목을 모티브로 했을까.<br><br><span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP is_long"">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a2"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/032/2022/12/10/0003192004_002_20221210120601169.jpg?type=w647"" id=""img2""/>
</div>
</div><em class=""img_desc"">새롬기술의 주가시세표. 전국투자자교육협의회 자료</em></span><br><br>드라마 속 ‘뉴데이터테크놀로지’의 모티브는 1993년에 설립됐다가 닷컴 버블을 타고 코스닥에 상장됐다가 급추락한 ‘새롬기술’이다.<br><br>1999년 8월 코스닥 시장에 상장된 이 주식의 공모가는 2300원이었다. 전국투자자교육협의회 자료를 보면, 그해 10월 1890원으로 떨어졌다가 2000년 3월초 28만2000원으로 149.2배 올랐다.<br><br>이 주식은 지금까지 한국 주식시장 역사상 최고의 상승률을 기록한 종목으로 꼽힌다.<br><br>단기간에 이만큼 돈을 끌어모을 수 있었던 건 무료 인터넷 전화인 ‘다이얼패드’ 서비스 때문이었다. 당시 앞으로 무료로 국제전화를 걸 수 있다는 전망 때문에 투자자들이 모여들었다. 당시 코스닥 종목의 하루 거래량이 많아 1만주 수준이었으나 새롬기술은 하루에 100만주 이상 거래될 정도였다. 당시 김대중 대통령이 인터넷 기술 분야를 육성한다고 방침을 세운 덕에 벤처기업들이 한창 각광을 받았던 시절에 닷컴 버블을 타고 코스닥 황제주 자리에 오른 것이다. 새롬기술의 시가총액은 한때 삼성전자 보다도 높았다.<br><br>그러나 이 인터넷 전화사업은 기대만큼 수익을 내지 못했다. 경영진 간 분쟁이 이어졌고 분식회계 수사까지 받았다. 실적에 비해 고평가된 주가에는 작전세력이 개입했다는 소문도 끊이지 않았다.<br><br>결국 이 회사의 미국법인은 2001년 법정관리를 신청했고, 주가도 폭락의 길을 이어갔다. 2000년 말 주가는 5000원대로 추락했다.<br><br>초기 투자자들은 수익을 얻었지만 중간에 ‘묻지마 투자’에 뛰어들었던 개미 투자자들은 상당한 손실을 입었다.<br><br>&lt;재벌집 막내아들&gt;에서 나오는 것처럼 대기업도 이 회사 주식에 상당히 많이 투자에 손실을 입었다고 알려져 있다. 당시 삼성그룹 계열사들은 새롬기술 주식을 매입했다가 수백억원대의 손실을 입었다.<br><br>2004년 새롬기술이 새로운 사명 ‘솔본’으로 회사명을 바꿨다. 솔본은 투자자문사로 현재 코스닥에 상장되어 있다.
		</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>",경제
7,20221210,중앙일보,"韓 수출, 2년 연속 사상 최대…올해 6800억달러 돌파할 듯","<div class=""go_trans _article_content"" id=""dic_area"">
			  한국이 사상 최대 수출 실적을 2년 연속 경신했다. 산업통상자원부는 올해 수출액이 10일 오전 7시4분 기준으로 기존 최고실적인 지난해 연간 수출액 6444억 달러를 초과했다고 밝혔다.  <br> <br>   올해 1월1일부터 12월10일까지 누적 수출액은 지난해 같은 기간 대비 6.8% 증가했다. 산업부는 올해 연간 수출액은 지난해에 이어 2년 연속 사상 최대 실적을 경신했으며, 6800억 달러를 넘어설 것으로 전망했다. 그동안 우리나라의 역대 연간 수출순위는 지난해 6444억달러, 2018년 6049억달러, 2017년 5737억달러 순이다.   <br> <br>   전 세계 수출 순위도 지난해 7위에서 한 계단 높은 6위로 오를 전망이다. 이는 반도체·자동차·석유제품 3개 품목과 아세안·미국·유럽연합(EU)·인도 4개 시장에서 올해 역대 최고 수출액을 달성한 덕분이다. 수출액과 수입액을 더한 무역 1조 달러 달성 시점은 역대 가장 빠른 지난 9월 14일로 집계됐다.   <br> <div class=""ab_photo photo_center ""> <div class=""image""> <span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP is_small"">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/025/2022/12/10/0003245004_001_20221210114402476.jpg?type=w647"" id=""img1""/>
</div>
</div><em class=""img_desc"">그래픽=김영옥 기자 yesok@joongang.co.kr</em></span> <span class=""mask""></span> </div> </div>        다만 최근 수출전선이 흔들리는 것이 걱정이다. 러시아-우크라이나 전쟁 장기화, 미국·중국을 중심으로 한 경기 둔화, 반도체 같은 주력 수출 상품 단가 하락 등이 겹치면서 수출은 10월·11월 두달 연속 전년 대비 감소했다. 반면 한국의 수입액은 원자재 가격 상승 탓에 꾸준히 늘고 있다. 이에 따라 무역수지는 지난달까지 8개월 연속 적자를 기록 중이다.  <br> <br>   산업통상자원부 관계자는 “최근 수출 둔화는 한국뿐 아니라 에너지 자원이 부족하면서 제조업 수출 비중이 큰 독일ㆍ일본ㆍ중국 등에서도 공통적으로 나타나는 현상”이라며 ""내년에는 글로벌 경기 둔화와 에너지 가격 급등 등 위험 요인이 상존하는 만큼 수출지원사업 예산을 상반기에 조기 집행할 계획""이라고 말했다.  <br><br>
</br></br></br></br></br></br></br></br></br></div>",경제
8,20221210,동아일보,12월 중고차 시세 하락,"<div class=""go_trans _article_content"" id=""dic_area"">
			중고 국산차와 수입차 모두 시세가 하락한 것으로 나타났다.<br><br>엔카닷컴은 빅데이터를 기반으로 12월 국내 완성차 브랜드와 수입차 브랜드 2019년식 인기 차종 중고차 시세를 분석했다. 주행거리 기준 6만㎞, 무사고 차량이 대상이다. <br><br>국산차 및 수입차 전체 평균 시세는 전월 대비 0.60% 떨어졌다. 12월은 해가 바뀌기 전에 차를 처분하는 경우가 늘어나 매물이 많아지고, 완성차 할인 행사가 증가하는 시기라 중고차 수요가 줄어든다.<br><br>국산차의 평균 시세 하락폭은 예년보다 적은 0.09%를 기록했다. 다만 현대차그룹 준중형 SUV 시세는 상승하는 경향을 보였다.<br><br>현대차 싼타페 TM의 최소가와 최대가는 모두 올라 평균 시세가 전월 대비 2.08% 상승했다. 올 뉴 투싼의 평균 시세는 1.45% 올랐다.<br><br>기아 더 뉴 쏘렌토의 평균 시세는 전월 대비 2.07% 상승, 스포티지 더 볼드는 0.62% 소폭 올랐다. 제네시스 G80 또한 최대가 및 최소가 모두 상승해 평균 시세가 1.02% 상승했다.<br><br>현대차 쏘나타 뉴 라이즈, 팰리세이드, 기아 더 뉴 K5 2세대, 올 뉴 K3, 올 뉴 K7 등은 평균 시세가 1% 미만으로 미세하게 상승해 가격 방어가 이뤄졌다.<br><br>반면 최근 몇 달 간 상승 흐름을 이어가던 하이브리드 모델은 하락세를 보였다. 기아 더 뉴 니로 하이브리드는 최대가와 최소가가 3%대로 떨어져 평균 시세가 3.79% 줄었다. 현대차 더 뉴 그랜저 IG의 평균 시세 또한 0.26% 소폭 떨어졌다.<br><br>수입차는 전월 대비 전체 평균 시세가 0.93% 하락했다. 특히 랜드로버 레인지로버 이보크는 전월 대비 평균 3.40% 하락했다. 메르세데스벤츠 E-클래스 W213와 아우디 A4 (B9)가 2.74%, 볼보 XC60 2세대가 2.22%, BMW 5시리즈 (G30)는 1.83%, 미니 쿠퍼가 1.36% 하락했다.<br><br>반면 포르쉐 카이엔(PO536)과 렉서스 ES300h 7세대가 유일하게 상승했다. 카이엔은 최소가 기준 3.35%, 최대가 기준 1.00% 올라, 전월 대비 평균 시세가 1.85% 올랐다. ES300h의 경우 최대가는 소폭 하락했으나, 최소가 기준 시세가 상승해 평균 시세가 0.13% 오른 모습이다.<br><br>
</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>",생활
9,20221210,동아일보,"반도건설, 6년 연속 건설재해근로자 치료비 생계비 지원","<div class=""go_trans _article_content"" id=""dic_area"">
<span class=""end_photo_org""><div class=""nbd_im_w _LAZY_LOADING_WRAP "">
<div class=""nbd_a _LAZY_LOADING_ERROR_HIDE"" id=""img_a1"">
<img class=""_LAZY_LOADING"" data-src=""https://imgnews.pstatic.net/image/020/2022/12/10/0003467246_001_20221210111305991.jpg?type=w647"" id=""img1""/>
</div>
</div></span>반도건설이 ‘건설재해근로자 치료비 및 생계비 지원금 1억원’전달식을 대한건설회관에서 개최했다.<br> <br>지난 7일 행사에는 반도건설 김용철 사장을 비롯해 건설산업사회공헌재단 김상수 이사장, 근로복지공단 최기동 기획이사 등이 참석했다. 전달식에서는 올 한해 동안 건설재해근로자 지원 실적 현황을 듣고, 내년에도 건설재해근로자 지원을 위해 유기적으로 협조할 수 있도록 반도건설과 근로복지공단, 건설산업사회공헌재단이 긴밀히 소통하기로 의견을 모았다.<br> <br>기탁한 지원금은 재해근로자의 치료비 및 생활비 지원에 사용될 예정이다. 근로복지공단에서 추천한 지원대상자 중 재해 정도, 장애여부, 사회취약계층여부, 부양가족 수 등을 기준으로 건설산업사회공헌재단에서 매년 심사를 통해 대상자를 선정한다.<br> <br>2017년부터 매년 1억원씩 건설재해근로자를 위한 기부를 이어오고 있는 반도건설은 지난 5년간 231명의 재해근로자를 대상으로 5억원의 치료비 및 생계비를 지원했다. 내년에도 50여명의 재해근로자를 지원할 계획이다. 건설업종의 재해건수가 늘어나는 상황 속에서 종합건설사로서 사회적 책임을 다해야 한다는 권홍사 회장의 뜻에 따른 것이다.<br><br>
</br></br></br></br></br></br></br></br></div>",경제
